p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.29897514392e-06	0.000653384497393	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	PID	met_pathway	PRKCI; EPS15; SHC1; SOS1; MAPK3; GAB2; PAK1; AKT1; BAD; CTNNA1	9846; 6464; 207; 2060; 5595; 5584; 1495; 6654; 572; 5058	81	81
3.78290723958e-05	0.00693851553338	trefoil factors initiate mucosal healing	BioCarta	tffpathway	ERBB2; SHC1; SOS1; MAPK3; AKT1; BAD	207; 5595; 2064; 6464; 6654; 572	37	37
5.57556964796e-05	0.00693851553338	multiple antiapoptotic pathways from igf-1r signaling lead to bad phosphorylation	BioCarta	igf1rpathway	MAPK3; BAD; SHC1; SOS1	6464; 5595; 6654; 572	13	13
5.98041339387e-05	0.00693851553338	ErbB2/ErbB3 signaling events	PID	erbb2erbb3pathway	ERBB2; SHC1; SOS1; MAPK3; AKT1; BAD	207; 5595; 2064; 6464; 6654; 572	40	40
8.88618419109e-05	0.00693851553338	role of erk5 in neuronal survival pathway	BioCarta	erk5pathway	AKT1; MEF2D; SHC1; SOS1; MAPK3	207; 5595; 6464; 6654; 4209	27	27
9.09528697756e-05	0.00693851553338	IL-6 signaling pathway	Wikipathways	WP364	HDAC1; SHC1; SOS1; MAPK3; AKT1; BAD	572; 3065; 207; 5595; 6654; 6464	43	43
0.000106661188632	0.00693851553338	role of erbb2 in signal transduction and oncology	BioCarta	her2pathway	ERBB2; AKT1; SHC1; SOS1; MAPK3	207; 5595; 2064; 6464; 6654	28	28
0.00012113806312	0.00693851553338	EGF-EGFR signaling pathway	Wikipathways	WP437	PRKCI; EPS15; SHC1; SOS1; ERBB2; EPN1; GAB2; ARHGEF1; AKT1; MEF2D; PAK1	5584; 6654; 2060; 2064; 4209; 9846; 29924; 5058; 9138; 207; 6464	162	162
0.000127073920961	0.00693851553338	Nephrin/Neph1 signaling in the kidney podocyte	PID	nephrin_neph1_pathway	PRKCI; AKT1; BAD; TJP1; CD2AP	207; 5584; 7082; 572; 23607	29	29
0.00016254075924	0.00693851553338	Gastrin signaling pathway	Wikipathways	WP4659	PRKCH; TJP1; SHC1; SOS1; MAPK3; AKT1; BAD; MEF2D; PAK1	5583; 5595; 6654; 4209; 7082; 207; 572; 5058; 6464	114	114
0.000170166877033	0.00693851553338	Regulation of Telomerase	PID	telomerasepathway	HDAC1; MAPK3; RAD9A; SP3; AKT1; HSP90AA1; SIN3A	207; 3320; 3065; 5595; 25942; 5883; 6670	68	68
0.000175724402259	0.00693851553338	endocytotic role of ndk phosphins and dynamin	BioCarta	ndkdynaminpathway	EPS15; BIN1; EPN1; PICALM	29924; 2060; 8301; 274	17	17
0.000191304149918	0.00693851553338	IL-3 signaling pathway	Wikipathways	WP286	SHC1; SOS1; MAPK3; GAB2; AKT1; BAD	6654; 572; 207; 6464; 5595; 9846	49	49
0.000193119716635	0.00693851553338	T-cell receptor (TCR) signaling pathway	Wikipathways	WP69	DBNL; SHC1; SOS1; AKT1; GAB2; VIM; MAPK3; PAK1	28988; 5595; 6654; 7431; 9846; 5058; 207; 6464	92	92
0.000223393447597	0.00749112694274	Adherens junction - Homo sapiens (human)	KEGG	path:hsa04520	ERBB2; TJP1; LMO7; MAPK3; CTNND1; BAIAP2; CTNNA1	1495; 4008; 7082; 10458; 1500; 5595; 2064	71	71
0.000265793077204	0.00799256006313	MECP2 and Associated Rett Syndrome	Wikipathways	WP3584	HDAC1; SMC3; SP3; AKT1; YBX1; NCOR1; SIN3A	9126; 9611; 3065; 25942; 207; 6670; 4904	73	73
0.000319172201223	0.00799256006313	angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling	BioCarta	at1rpathway	MAPK3; PAK1; SHC1; SOS1; MEF2D	5595; 6464; 6654; 4209; 5058	35	35
0.000328744125825	0.00799256006313	IL-4 signaling pathway	Wikipathways	WP395	SHC1; SOS1; MAPK3; GAB2; AKT1; BAD	572; 6654; 207; 9846; 5595; 6464	54	54
0.000341303637129	0.00799256006313	Leptin signaling pathway	Wikipathways	WP2034	ERBB2; SHC1; SOS1; ACACB; AKT1; BAD; MAPK3	6654; 572; 207; 5595; 32; 6464; 2064	76	76
0.000341303637129	0.00799256006313	Prolactin Signaling Pathway	Wikipathways	WP2037	ERBB2; SHC1; SOS1; MAPK3; GAB2; AKT1; PAK1	6654; 5058; 207; 9846; 5595; 6464; 2064	76	76
0.000341303637129	0.00799256006313	Chronic myeloid leukemia - Homo sapiens (human)	KEGG	path:hsa05220	HDAC1; SHC1; SOS1; MAPK3; GAB2; AKT1; BAD	9846; 3065; 572; 6464; 207; 5595; 6654	76	76
0.000365464973066	0.00799256006313	E-cadherin signaling in the nascent adherens junction	PID	ecadherin_nascentaj_pathway	AKT1; TJP1; CTTN; CTNNA1; CTNND1	207; 1500; 1495; 7082; 2017	36	36
0.000365464973066	0.00799256006313	Trk receptor signaling mediated by PI3K and PLC-gamma	PID	pi3kplctrkpathway	EPB41L1; AKT1; BAD; SHC1; SOS1	207; 2036; 6464; 6654; 572	36	36
0.000401539698311	0.00838316062081	FGF signaling pathway	PID	fgf_pathway	CTTN; SHC1; SOS1; MAPK3; AKT1; CTNND1	207; 1500; 5595; 6464; 2017; 6654	56	56
0.000416658082545	0.00838316062081	IL2 signaling events mediated by PI3K	PID	il2_pi3kpathway	AKT1; GAB2; SHC1; SOS1; HSP90AA1	207; 3320; 6464; 9846; 6654	37	37
0.000486352421674	0.00928062075946	Endometrial cancer - Homo sapiens (human)	KEGG	path:hsa05213	ERBB2; SOS1; MAPK3; AKT1; BAD; CTNNA1	572; 207; 1495; 5595; 2064; 6654	58	58
0.000533674747038	0.00928062075946	p53 pathway	PID	p53regulationpathway	DAXX; TRIM28; HUWE1; USP7; AKT1; ATR	207; 545; 10075; 10155; 1616; 7874	59	59
0.000533674747038	0.00928062075946	Kit receptor signaling pathway	Wikipathways	WP304	SHC1; SOS1; MAPK3; GAB2; AKT1; BAD	6654; 572; 207; 9846; 5595; 6464	59	59
0.000535065610387	0.00928062075946	Internalization of ErbB1	PID	erbb1_internalization_pathway	CHMP3; EPS15; EPN1; SHC1; SOS1	2060; 6464; 51652; 29924; 6654	39	39
0.000556534670476	0.00933123130831	VEGFA-VEGFR2 Signaling Pathway	Wikipathways	WP3888	HDAC1; PRKCI; SET; MAPK3; ACACB; RPLP2; EPN1; PAK1; AKT1; NEXN; CTNND1; HSP90AA1; NDRG1; SHROOM2; BIN1; CTNNA1; EPS15; SHC1	1495; 274; 32; 91624; 3065; 5584; 29924; 1500; 10397; 207; 5595; 2060; 5058; 6418; 357; 3320; 6181; 6464	433	433
0.000675559935424	0.0109191063789	ErbB signaling pathway - Homo sapiens (human)	KEGG	path:hsa04012	ERBB2; SHC1; SOS1; MAPK3; AKT1; BAD; PAK1	2064; 572; 6464; 5058; 207; 5595; 6654	85	85
0.000732628038541	0.0109191063789	Tight junction - Homo sapiens (human)	KEGG	path:hsa04530	ERBB2; TJP2; CTTN; PRKCI; PRKAB1; SYMPK; SCRIB; ARHGAP17; TJP1; TJAP1	2064; 9414; 2017; 55114; 7082; 5564; 93643; 5584; 23513; 8189	169	169
0.000757886267376	0.0109191063789	IL-2 signaling pathway	Wikipathways	WP49	AKT1; GAB2; SHC1; SOS1; MAPK3	6654; 207; 9846; 5595; 6464	42	42
0.00075977877388	0.0109191063789	Endometrial cancer	Wikipathways	WP4155	ERBB2; SOS1; MAPK3; AKT1; BAD; CTNNA1	572; 207; 5595; 6654; 2064; 1495	63	63
0.00075977877388	0.0109191063789	Pathways affected in adenoid cystic carcinoma	Wikipathways	WP3651	SRCAP; NFIB; ERBB2; AKT1; SETD2; NCOR1	9611; 4781; 29072; 207; 10847; 2064	63	63
0.000837616190808	0.0113870525399	VEGFR3 signaling in lymphatic endothelium	PID	lymphangiogenesis_pathway	AKT1; SHC1; SOS1; MAPK3	207; 5595; 6654; 6464	25	25
0.000837616190808	0.0113870525399	Hypothesized Pathways in Pathogenesis of Cardiovascular Disease	Wikipathways	WP3668	MAPK3; FBN3; SHC1; FBN1	2200; 5595; 6464; 84467	25	25
0.000976557839679	0.0125950921374	links between pyk2 and map kinases	BioCarta	pyk2pathway	MAPK3; SHC1; SOS1; PAK1	5595; 6464; 6654; 5058	26	26
0.000976557839679	0.0125950921374	EPO Receptor Signaling	Wikipathways	WP581	AKT1; SHC1; SOS1; MAPK3	6654; 207; 5595; 6464	26	26
0.00108259604372	0.013505345906	ErbB signaling pathway	Wikipathways	WP673	ERBB2; SHC1; SOS1; AKT1; MAPK3; BAD; PAK1	5595; 6654; 2064; 572; 5058; 207; 6464	92	92
0.00113093975233	0.013505345906	transcription factor creb and its extracellular signals	BioCarta	crebpathway	AKT1; SHC1; SOS1; MAPK3	207; 5595; 6464; 6654	27	27
0.00113911825426	0.013505345906	RAC1-PAK1-p38-MMP2 Pathway	Wikipathways	WP3303	ERBB2; SOS1; MAPK3; AKT1; BAD; PAK1	572; 5058; 207; 5595; 6654; 2064	68	68
0.0011545325526	0.013505345906	Insulin Pathway	PID	insulin_pathway	PRKCI; AKT1; EXOC1; SHC1; SOS1	207; 55763; 5584; 6464; 6654	46	46
