p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
4.38414805151e-05	0.0128936450837	Integrins in angiogenesis	PID	avb3_integrin_pathway	SRC; VCL; CBL; VTN; AKT1; SPP1; HSP90AA1	867; 207; 6714; 3320; 6696; 7448; 7414	63	63
7.20789069397e-05	0.0128936450837	Signaling events mediated by VEGFR1 and VEGFR2	PID	vegfr1_2_pathway	SRC; VCL; CBL; VTN; AKT1; HSP90AA1; CAV1	867; 207; 3320; 6714; 7448; 7414; 857	68	68
0.000126143203283	0.0128936450837	integrin signaling pathway	BioCarta	integrinpathway	SRC; TNS1; VCL; NOLC1; CAV1	7414; 7145; 6714; 857; 9221	33	33
0.0001758237175	0.0128936450837	TGF-beta Signaling Pathway	Wikipathways	WP366	SRC; SNIP1; ZFYVE16; AKT1; ETS1; PML; TGFB1I1; CAV1; YAP1	6714; 5371; 7041; 79753; 10413; 857; 2113; 207; 9765	132	132
0.000211541870687	0.0128936450837	Focal Adhesion	Wikipathways	WP306	SRC; VCL; MYLK; VTN; AKT1; MYL5; SPP1; PPP1R12A; LAMB1; FLNA; CAV1	6714; 7448; 2316; 4659; 4636; 4638; 857; 7414; 6696; 207; 3912	198	198
0.000219134469287	0.0128936450837	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	PID	met_pathway	SRC; MAP3K1; CBL; AKT1; ETS1; EIF4EBP1; CDH1	867; 1978; 207; 4214; 2113; 6714; 999	81	81
0.000241019116856	0.0128936450837	Focal adhesion - Homo sapiens (human)	KEGG	path:hsa04510	SRC; VCL; MYLK; VTN; AKT1; MYL5; SPP1; PPP1R12A; LAMB1; FLNA; CAV1	4636; 4638; 6696; 4659; 6714; 2316; 207; 7414; 7448; 3912; 857	201	201
0.000247360097528	0.0128936450837	Tight junction - Homo sapiens (human)	KEGG	path:hsa04530	TJP2; SRC; SYMPK; SYNPO; CGN; MAP3K1; SCRIB; ARHGAP17; MYH14; GATA4	6714; 2626; 57530; 4214; 9414; 11346; 55114; 79784; 23513; 8189	169	169
0.000392293748485	0.0181762770131	Androgen receptor signaling pathway	Wikipathways	WP138	SRC; ZNF318; AKT1; FLNA; TGFB1I1; NCOR2; CAV1	24149; 7041; 6714; 2316; 857; 9612; 207	89	89
0.000504518207265	0.0185099799638	Beta3 integrin cell surface interactions	PID	integrin3_pathway	LAMB1; VTN; SPP1; FGA; FBN1	6696; 2200; 7448; 3912; 2243	44	44
0.000555363707919	0.0185099799638	Regulation of Telomerase	PID	telomerasepathway	AKT1; NBN; DKC1; HSP90AA1; HNRNPC; XRCC6	207; 3320; 3183; 2547; 1736; 4683	68	68
0.000560693811925	0.0185099799638	Integrin-linked kinase signaling	PID	ilk_pathway	AKT1; TNS1; PPP1R12A; GIT2; HSP90AA1	207; 3320; 9815; 7145; 4659	45	45
0.000621438176242	0.0185099799638	ATM Signaling Network in Development and Disease	Wikipathways	WP3878	MDC1; LBR; NBN; HMGN1; HSPB1	3930; 3150; 3315; 4683; 9656	46	46
0.000621438176242	0.0185099799638	Insulin Pathway	PID	insulin_pathway	SORBS1; AKT1; EIF4EBP1; CBL; CAV1	10580; 867; 207; 857; 1978	46	46
0.000794162649314	0.0190737928058	EGF-EGFR signaling pathway	Wikipathways	WP437	SRC; MAP3K1; CBL; AKT1; EIF4EBP1; MEF2D; IQSEC1; ATXN2; CAV1	6714; 6311; 4209; 4214; 857; 867; 207; 1978; 9922	162	162
0.00081152595423	0.0190737928058	Primary focal segmental glomerulosclerosis (FSGS)	Wikipathways	WP2572	SYNPO; VCL; VTN; AKT1; UTRN; KRT8	11346; 7402; 3856; 7414; 207; 7448	73	73
0.000841132403173	0.0190737928058	Integrin-mediated Cell Adhesion	Wikipathways	WP185	SRC; VCL; AKT1; GIT2; SORBS1; TNS1; CAV1	10580; 6714; 7145; 857; 7414; 9815; 207	101	101
0.000894040309499	0.0190737928058	VEGFR1 specific signals	PID	vegfr1_pathway	AKT1; CAV1; CBL; HSP90AA1	867; 207; 3320; 857	29	29
0.000897982924377	0.0190737928058	VEGFA-VEGFR2 Signaling Pathway	Wikipathways	WP3888	SRC; GIGYF2; CNP; HSPB1; EIF4G1; VCL; CBL; AKT1; ETS1; CDC42BPB; KANK1; BRD4; HSP90AA1; FGA; PRKD2; CAV1	857; 7414; 23476; 6714; 9578; 2113; 867; 25865; 207; 1267; 2243; 3315; 23189; 3320; 26058; 1981	433	433
0.000914810206512	0.0190737928058	Translation Factors	Wikipathways	WP107	EIF4G3; EIF4G1; EIF4EBP1; EEF2; EEF1B2	1981; 8672; 1933; 1938; 1978	50	50
0.00101949572574	0.0202442722683	vegf hypoxia and angiogenesis	BioCarta	vegfpathway	AKT1; CAV1; SRC; HSP90AA1	207; 3320; 6714; 857	30	30
0.00115682113204	0.0209736700896	p38 mapk signaling pathway	BioCarta	p38mapkpathway	MAP3K1; MEF2D; HMGN1; HSPB1	3150; 3315; 4214; 4209	31	31
0.00115682113204	0.0209736700896	erk and pi-3 kinase are necessary for collagen binding in corneal epithelia	BioCarta	ecmpathway	SRC; TNS1; VCL; MYLK	4638; 6714; 7414; 7145	31	31
0.00146942457419	0.0238401217935	Alpha 6 Beta 4 signaling pathway	Wikipathways	WP244	LAMB1; AKT1; EIF4EBP1; SRC	207; 3912; 6714; 1978	33	33
0.0015330727392	0.0238401217935	FGF signaling pathway	PID	fgf_pathway	CDH1; AKT1; SPP1; CBL; SRC	867; 207; 999; 6714; 6696	56	56
0.0015330727392	0.0238401217935	Signaling events mediated by HDAC Class I	PID	hdac_classi_pathway	CHD3; RANBP2; NCOR2; CHD4; RANGAP1	1108; 1107; 5905; 9612; 5903	56	56
